iter	Logloss
0	0.5854829335
1	0.5054314167
2	0.4508872307
3	0.4113611616
4	0.3753464934
5	0.3492249377
6	0.3203296285
7	0.3015734075
8	0.2900971718
9	0.2824169531
10	0.2741253687
11	0.2665291663
12	0.2610648348
13	0.2565346168
14	0.252954508
15	0.2503298139
16	0.2478515007
17	0.2462300235
18	0.2448313707
19	0.2435720989
20	0.2416842773
21	0.2405596452
22	0.2388845823
23	0.2379388512
24	0.236608082
25	0.2354358384
26	0.2340372139
27	0.2332063585
28	0.2318139782
29	0.2306092713
30	0.2299952548
31	0.2293704798
32	0.2286427893
33	0.2276148655
34	0.2270540648
35	0.2263210063
36	0.2255327148
37	0.2251095906
38	0.2243296237
39	0.2236604571
40	0.2231368966
41	0.2227166462
42	0.2221617349
43	0.2215786915
44	0.2211003008
45	0.2205912778
46	0.2201753524
47	0.2195411775
48	0.2190636777
49	0.2184407227
50	0.2179239336
51	0.2175492935
52	0.2169897345
53	0.2164757056
54	0.2160763039
55	0.2156636456
56	0.2152715765
57	0.2149641089
58	0.2146536154
59	0.2142558336
60	0.2137795404
61	0.2134414902
62	0.2129960249
63	0.212256702
64	0.2115275137
65	0.2108468154
66	0.210183249
67	0.2098577143
68	0.2092238585
69	0.208866029
70	0.2085791581
71	0.2083280048
72	0.2079359527
73	0.2077265489
74	0.2074670345
75	0.2070981536
76	0.2065432669
77	0.2061979437
78	0.2060174296
79	0.2056489163
80	0.2054074753
81	0.2052033516
82	0.2049413766
83	0.2046274179
84	0.2039954461
85	0.2035917208
86	0.2032549482
87	0.2029203608
88	0.2027513322
89	0.2023280645
90	0.2020537968
91	0.2018921907
92	0.2017292622
93	0.2013070767
94	0.2009835411
95	0.2008047081
96	0.2004868495
97	0.2003132577
98	0.2001034133
99	0.1999896986
100	0.1993402304
101	0.1991288849
102	0.1987514174
103	0.1984732969
104	0.1981850752
105	0.198026225
106	0.1976618667
107	0.1974456265
108	0.1967130261
109	0.1966257311
110	0.1964500667
111	0.1962246098
112	0.1959553527
113	0.1958058122
114	0.1954894265
115	0.1952217082
116	0.1946133189
117	0.1944120004
118	0.1942323631
119	0.1940549852
120	0.1937706027
121	0.1933175981
122	0.1930148424
123	0.1928436411
124	0.1926678499
125	0.1924424499
126	0.1922315912
127	0.1918090283
128	0.1915701595
129	0.1912138937
130	0.1909812215
131	0.1906134214
132	0.1904019394
133	0.1902965636
134	0.1898935189
135	0.1896126944
136	0.1894129671
137	0.1892188291
138	0.1890489152
139	0.1886847358
140	0.1885284524
141	0.1882118103
142	0.1879273747
143	0.1876743206
144	0.18747413
145	0.1873174023
146	0.1872208329
147	0.18699774
148	0.1867533611
149	0.1864798379
150	0.1863092751
151	0.1861956576
152	0.1860216602
153	0.1858714912
154	0.1856114763
155	0.1853774253
156	0.1850932278
157	0.184804337
158	0.1846156331
159	0.1840619273
160	0.1839144532
161	0.1837203513
162	0.1834726081
163	0.1832444023
164	0.1831355253
165	0.1827235414
166	0.1825063067
167	0.182325822
168	0.1817615782
169	0.1816138641
170	0.1810681194
171	0.1809439551
172	0.1807924924
173	0.1806223469
174	0.1804914316
175	0.180231961
176	0.1798261291
177	0.1796448639
178	0.1794042261
179	0.1790864919
180	0.1788507029
181	0.1786860576
182	0.1784890167
183	0.1783490394
184	0.1781522314
185	0.1780214893
186	0.1777549524
187	0.1775834722
188	0.1774320558
189	0.1772689485
190	0.1771153982
191	0.1768634606
192	0.1766722043
193	0.176480938
194	0.1762965466
195	0.1760790747
196	0.1759827648
197	0.1757835426
198	0.1755237611
199	0.1752662071
200	0.1750455493
201	0.1747746138
202	0.1745795184
203	0.1743537462
204	0.1741876881
205	0.1740697663
206	0.1739318058
207	0.1737507708
208	0.1735606089
209	0.1734084693
210	0.1733373889
211	0.1731001382
212	0.1729758553
213	0.172774114
214	0.172488297
215	0.1724096508
216	0.1722381111
217	0.1720437773
218	0.1718298909
219	0.1716503075
220	0.1715136356
221	0.1713093941
222	0.1711603001
223	0.1708410653
224	0.1706327587
225	0.1704136003
226	0.1700931132
227	0.1699764329
228	0.1697774525
229	0.1694598199
230	0.1693302515
231	0.1691806506
232	0.1690552471
233	0.1688124803
234	0.1684886564
235	0.1682309025
236	0.1680674023
237	0.1678983224
238	0.1676574544
239	0.1674770969
240	0.1673765667
241	0.1672377921
242	0.1671107195
243	0.1669703458
244	0.1667290923
245	0.1665635187
246	0.1663167564
247	0.1661879017
248	0.1659156007
249	0.1657546962
250	0.1654860074
251	0.1653207267
252	0.1650054785
253	0.1646928067
254	0.1646079109
255	0.1643296855
256	0.1642311279
257	0.1640873568
258	0.1639061418
259	0.1637853861
260	0.1637172342
261	0.163610879
262	0.1634745286
263	0.1634188765
264	0.1632700357
265	0.163168307
266	0.1629614487
267	0.1627871448
268	0.1626606872
269	0.1625818086
270	0.1624801519
271	0.1622972174
272	0.1621579003
273	0.1620309058
274	0.1619443866
275	0.1618146563
276	0.1617155969
277	0.1615153765
278	0.161370327
279	0.1613078182
280	0.1611647482
281	0.1610081691
282	0.1608843479
283	0.1606948499
284	0.1605384478
285	0.1604248945
286	0.160321808
287	0.1602455525
288	0.160153308
289	0.1599894753
290	0.1598104502
291	0.1596220693
292	0.1595052364
293	0.1594002178
294	0.1593038231
295	0.1591394403
296	0.1590601756
297	0.1589674282
298	0.1588448717
299	0.1587174838
300	0.1583706755
301	0.1582109631
302	0.1580896716
303	0.1579757976
304	0.1578655626
305	0.1577206376
306	0.1574388525
307	0.1571839555
308	0.1569455664
309	0.1567999964
310	0.156710712
311	0.1565557961
312	0.1562755127
313	0.1562039625
314	0.1560527341
315	0.1558121376
316	0.1556824333
317	0.155552758
318	0.155472331
319	0.1553017187
320	0.1551822285
321	0.1550264606
322	0.1549502741
323	0.1548099867
324	0.1546636467
325	0.1544740374
326	0.1543398263
327	0.1542576361
328	0.1541180031
329	0.1540295976
330	0.1539623694
331	0.153840649
