iter	Passed	Remaining
0	211	105669
1	294	73371
2	364	60396
3	438	54324
4	507	50283
5	583	48045
6	650	45833
7	715	44009
8	811	44245
9	878	43055
10	945	42010
11	1014	41270
12	1109	41570
13	1182	41065
14	1251	40461
15	1319	39909
16	1390	39493
17	1454	38953
18	1528	38701
19	1603	38473
20	1673	38176
21	1750	38026
22	1825	37867
23	1896	37610
24	1964	37319
25	2047	37323
26	2117	37088
27	2182	36795
28	2248	36525
29	2320	36358
30	2382	36039
31	2445	35765
32	2515	35592
33	2580	35364
34	2646	35154
35	2713	34970
36	2784	34840
37	2851	34665
38	2912	34432
39	2979	34268
40	3045	34092
41	3112	33936
42	3184	33839
43	3264	33829
44	3327	33646
45	3397	33535
46	3467	33420
47	3535	33296
48	3604	33179
49	3673	33061
50	3739	32926
51	3807	32806
52	3874	32675
53	3941	32553
54	4013	32472
55	4081	32358
56	4146	32228
57	4239	32306
58	4307	32194
59	4377	32101
60	4444	31985
61	4512	31881
62	4580	31771
63	4643	31636
64	4713	31542
65	4780	31434
66	4849	31341
67	4937	31367
68	5020	31359
69	5092	31284
70	5160	31178
71	5231	31101
72	5309	31059
73	5384	30996
74	5458	30933
75	5532	30868
76	5602	30778
77	5672	30689
78	5742	30600
79	5807	30487
80	5881	30421
81	5950	30335
82	6023	30263
83	6092	30170
84	6161	30084
85	6237	30027
86	6309	29950
87	6403	29978
88	6497	30004
89	6591	30029
90	6674	29998
91	6771	30027
92	6852	29989
93	6942	29983
94	7023	29944
95	7095	29858
96	7165	29768
97	7243	29712
98	7312	29620
99	7378	29514
100	7448	29425
101	7520	29346
102	7593	29267
103	7663	29181
104	7731	29084
105	7802	29002
106	7876	28928
107	7949	28853
108	8023	28783
109	8095	28700
110	8165	28615
111	8250	28580
112	8338	28558
113	8414	28491
114	8490	28424
115	8580	28402
116	8653	28328
117	8728	28258
118	8798	28171
119	8865	28075
120	8935	27989
121	9006	27905
122	9096	27882
123	9168	27799
124	9238	27714
125	9309	27633
126	9373	27529
127	9446	27452
128	9526	27397
129	9598	27318
130	9671	27243
131	9743	27163
132	9811	27072
133	9881	26990
134	9957	26923
135	10028	26839
136	10098	26758
137	10170	26678
138	10239	26593
139	10305	26500
140	10375	26416
141	10445	26334
142	10514	26250
143	10582	26161
144	10649	26072
145	10724	26004
146	10800	25936
147	10872	25859
148	10945	25783
149	11012	25694
150	11074	25597
151	11147	25522
152	11218	25443
153	11286	25358
154	11347	25257
155	11418	25178
156	11490	25103
157	11564	25031
158	11634	24951
159	11701	24865
160	11771	24786
161	11841	24705
162	11913	24631
163	11983	24551
164	12052	24469
165	12132	24411
166	12199	24326
167	12272	24252
168	12342	24173
169	12410	24090
170	12480	24011
171	12551	23935
172	12654	23918
173	12739	23867
174	12837	23840
175	12942	23826
176	13014	23749
177	13079	23660
178	13148	23578
179	13222	23507
180	13287	23418
181	13358	23341
182	13424	23254
183	13488	23165
184	13549	23071
185	13608	22973
186	13677	22892
187	13745	22811
188	13818	22738
189	13886	22656
190	13953	22573
191	14020	22491
192	14093	22418
193	14167	22346
194	14239	22271
195	14310	22196
196	14380	22118
197	14450	22040
198	14521	21965
199	14594	21892
200	14666	21817
201	14737	21741
202	14806	21662
203	14877	21587
204	14944	21505
205	15013	21426
206	15099	21372
207	15170	21296
208	15236	21214
209	15304	21135
210	15378	21063
211	15449	20987
212	15521	20914
213	15593	20840
214	15664	20764
215	15731	20683
216	15801	20607
217	15874	20534
218	15947	20462
219	16019	20388
220	16096	20320
221	16181	20263
222	16260	20198
223	16335	20128
224	16410	20057
225	16473	19972
226	16541	19893
227	16611	19817
228	16687	19748
229	16760	19674
230	16835	19604
231	16907	19531
232	16981	19459
233	17054	19386
234	17127	19313
235	17197	19237
236	17277	19173
237	17347	19096
238	17419	19023
239	17490	18947
240	17558	18870
241	17619	18784
242	17688	18707
243	17753	18626
244	17821	18548
245	17891	18473
246	17962	18398
247	18027	18318
248	18097	18242
249	18165	18165
250	18238	18092
251	18304	18014
252	18373	17938
253	18442	17861
254	18508	17782
255	18570	17700
256	18639	17624
257	18715	17554
258	18787	17482
259	18876	17424
260	18944	17347
261	19012	17270
262	19084	17197
263	19156	17124
264	19230	17053
265	19305	16982
266	19377	16910
267	19461	16847
268	19532	16773
269	19594	16691
270	19664	16616
271	19736	16543
272	19806	16469
273	19878	16395
274	19951	16324
275	20029	16255
276	20101	16182
277	20169	16106
278	20243	16034
279	20311	15959
280	20376	15880
281	20447	15806
282	20515	15730
283	20585	15656
284	20656	15582
285	20721	15504
286	20793	15432
287	20856	15352
288	20923	15276
289	20993	15202
290	21065	15129
291	21138	15057
292	21210	14984
293	21277	14908
294	21345	14832
295	21415	14759
296	21486	14686
297	21558	14613
298	21641	14548
299	21709	14472
300	21776	14397
301	21847	14323
302	21915	14248
303	21983	14173
304	22053	14099
305	22123	14026
306	22199	13956
307	22270	13882
308	22339	13808
309	22409	13735
310	22482	13662
311	22549	13587
312	22620	13514
313	22688	13439
314	22758	13366
315	22820	13287
316	22889	13213
317	22972	13147
318	23037	13071
319	23105	12996
320	23175	12923
321	23230	12841
322	23299	12767
323	23366	12692
324	23436	12619
325	23503	12545
326	23573	12471
327	23640	12397
328	23703	12319
329	23782	12251
330	23853	12178
331	23922	12105
332	23989	12030
333	24054	11955
334	24124	11882
335	24180	11802
336	24252	11730
337	24319	11656
338	24388	11582
339	24456	11508
340	24523	11434
341	24591	11360
342	24658	11287
343	24729	11214
344	24797	11140
345	24859	11064
346	24929	10991
347	24998	10919
348	25059	10842
349	25126	10768
350	25221	10706
351	25298	10636
352	25367	10563
353	25435	10490
354	25503	10416
355	25572	10343
356	25645	10272
357	25713	10199
358	25783	10126
359	25851	10053
360	25918	9979
361	26000	9911
362	26072	9840
363	26142	9767
364	26211	9694
365	26280	9621
366	26352	9550
367	26423	9477
368	26489	9404
369	26548	9327
370	26617	9255
371	26686	9182
372	26756	9110
373	26827	9038
374	26895	8965
375	26964	8892
376	27033	8819
377	27101	8746
378	27167	8673
379	27237	8601
380	27305	8528
381	27376	8456
382	27442	8383
383	27513	8311
384	27581	8238
385	27646	8165
386	27716	8093
387	27780	8018
388	27849	7946
389	27917	7874
390	27987	7802
391	28057	7729
392	28139	7661
393	28206	7588
394	28273	7515
395	28337	7442
396	28408	7370
397	28478	7298
398	28541	7224
399	28614	7153
400	28680	7080
401	28750	7008
402	28820	6937
403	28881	6863
404	28951	6791
405	29024	6719
406	29090	6647
407	29159	6575
408	29229	6503
409	29297	6431
410	29366	6359
411	29433	6286
412	29502	6214
413	29567	6141
414	29637	6070
415	29705	5998
416	29769	5925
417	29839	5853
418	29907	5781
419	29982	5710
420	30052	5639
421	30124	5568
422	30195	5496
423	30249	5422
424	30336	5353
425	30405	5281
426	30479	5210
427	30554	5140
428	30625	5068
429	30701	4997
430	30772	4926
431	30846	4855
432	30916	4783
433	30984	4711
434	31053	4640
435	31122	4568
436	31191	4496
437	31259	4424
438	31331	4353
439	31400	4281
440	31474	4210
441	31538	4138
442	31608	4067
443	31681	3995
444	31749	3924
445	31821	3852
446	31884	3780
447	31952	3708
448	32022	3637
449	32087	3565
450	32153	3493
451	32223	3421
452	32290	3350
453	32364	3279
454	32432	3207
455	32514	3137
456	32580	3065
457	32649	2994
458	32714	2922
459	32783	2850
460	32857	2779
461	32930	2708
462	33002	2637
463	33063	2565
464	33128	2493
465	33200	2422
466	33271	2351
467	33339	2279
468	33406	2208
469	33474	2136
470	33542	2065
471	33611	1993
472	33683	1922
473	33744	1850
474	33809	1779
475	33875	1707
476	33943	1636
477	34010	1565
478	34071	1493
479	34143	1422
480	34212	1351
481	34281	1280
482	34343	1208
483	34414	1137
484	34481	1066
485	34546	995
486	34614	924
487	34699	853
488	34766	782
489	34834	710
490	34893	639
491	34962	568
492	35017	497
493	35081	426
494	35152	355
495	35219	284
496	35284	212
497	35349	141
498	35416	70
499	35484	0
