iter	Passed	Remaining
0	205	102734
1	275	68723
2	360	59781
3	438	54375
4	520	51519
5	602	49603
6	680	47925
7	768	47273
8	847	46251
9	928	45477
10	1008	44811
11	1077	43810
12	1157	43351
13	1236	42929
14	1317	42583
15	1394	42175
16	1478	42010
17	1559	41761
18	1659	42006
19	1729	41517
20	1817	41447
21	1903	41360
22	1983	41141
23	2065	40971
24	2130	40486
25	2215	40394
26	2296	40224
27	2372	39999
28	2461	39971
29	2542	39835
30	2620	39650
31	2703	39533
32	2784	39408
33	2867	39304
34	2946	39142
35	3027	39021
36	3104	38850
37	3191	38807
38	3258	38521
39	3337	38380
40	3414	38229
41	3494	38108
42	3581	38062
43	3666	37995
44	3727	37689
45	3806	37564
46	3879	37389
47	3957	37263
48	4046	37244
49	4130	37175
50	4214	37099
51	4283	36900
52	4354	36721
53	4421	36516
54	4493	36360
55	4566	36208
56	4647	36121
57	4724	36006
58	4800	35883
59	4882	35805
60	4964	35731
61	5046	35653
62	5131	35596
63	5212	35512
64	5296	35445
65	5379	35371
66	5457	35271
67	5540	35197
68	5620	35105
69	5703	35032
70	5787	34970
71	5871	34903
72	5956	34839
73	6034	34738
74	6113	34642
75	6199	34585
76	6278	34490
77	6363	34425
78	6438	34312
79	6509	34176
80	6586	34068
81	6667	33987
82	6750	33912
83	6834	33846
84	6917	33772
85	6996	33682
86	7079	33608
87	7168	33559
88	7235	33413
89	7316	33332
90	7397	33246
91	7462	33092
92	7549	33039
93	7633	32969
94	7717	32902
95	7800	32826
96	7883	32754
97	7966	32679
98	8048	32600
99	8132	32528
100	8224	32490
101	8306	32409
102	8386	32325
103	8463	32226
104	8542	32136
105	8623	32054
106	8706	31979
107	8792	31911
108	8866	31804
109	8947	31722
110	9030	31646
111	9110	31561
112	9196	31495
113	9274	31401
114	9356	31325
115	9441	31253
116	9521	31169
117	9596	31068
118	9683	31002
119	9767	30930
120	9850	30854
121	9934	30779
122	10018	30707
123	10098	30622
124	10183	30551
125	10269	30481
126	10351	30402
127	10437	30333
128	10520	30255
129	10599	30167
130	10676	30073
131	10745	29956
132	10826	29873
133	10906	29789
134	10992	29721
135	11073	29638
136	11159	29567
137	11235	29474
138	11317	29392
139	11393	29296
140	11484	29239
141	11573	29178
142	11654	29095
143	11739	29021
144	11817	28931
145	11881	28808
146	11958	28716
147	12031	28616
148	12119	28549
149	12209	28487
150	12278	28378
151	12362	28302
152	12446	28228
153	12517	28124
154	12604	28054
155	12689	27981
156	12773	27905
157	12856	27829
158	12933	27737
159	13011	27650
160	13097	27578
161	13178	27495
162	13261	27417
163	13340	27330
164	13424	27256
165	13498	27158
166	13581	27080
167	13663	27001
168	13737	26905
169	13805	26799
170	13889	26723
171	13971	26643
172	14050	26557
173	14143	26499
174	14216	26402
175	14309	26342
176	14381	26245
177	14479	26192
178	14559	26110
179	14651	26046
180	14736	25971
181	14813	25882
182	14894	25800
183	14965	25702
184	15056	25636
185	15137	25553
186	15220	25476
187	15301	25394
188	15386	25318
189	15470	25240
190	15544	25148
191	15630	25073
192	15708	24987
193	15786	24900
194	15867	24818
195	15938	24720
196	16018	24637
197	16102	24559
198	16179	24472
199	16270	24405
200	16354	24327
201	16437	24249
202	16500	24141
203	16571	24045
204	16648	23958
205	16733	23881
206	16818	23805
207	16901	23727
208	16981	23644
209	17057	23555
210	17127	23459
211	17211	23381
212	17302	23313
213	17367	23210
214	17449	23130
215	17529	23048
216	17613	22970
217	17697	22892
218	17780	22814
219	17860	22731
220	17948	22659
221	18031	22580
222	18111	22497
223	18196	22420
224	18278	22339
225	18360	22259
226	18444	22182
227	18521	22095
228	18603	22015
229	18687	21936
230	18771	21859
231	18856	21782
232	18937	21701
233	19019	21620
234	19112	21552
235	19181	21457
236	19260	21373
237	19338	21288
238	19418	21205
239	19500	21126
240	19583	21046
241	19668	20968
242	19749	20887
243	19830	20806
244	19914	20727
245	19988	20638
246	20070	20558
247	20141	20466
248	20215	20378
249	20296	20296
250	20376	20214
251	20458	20133
252	20538	20051
253	20623	19973
254	20707	19895
255	20790	19815
256	20874	19736
257	20951	19652
258	21032	19571
259	21116	19492
260	21199	19412
261	21299	19348
262	21355	19244
263	21441	19167
264	21525	19088
265	21609	19009
266	21690	18928
267	21764	18841
268	21846	18760
269	21927	18679
270	22009	18598
271	22093	18519
272	22176	18439
273	22255	18357
274	22344	18281
275	22433	18206
276	22508	18120
277	22579	18031
278	22645	17937
279	22727	17857
280	22799	17768
281	22902	17705
282	22985	17624
283	23062	17540
284	23145	17460
285	23221	17375
286	23297	17290
287	23372	17204
288	23484	17146
289	23561	17061
290	23630	16972
291	23721	16897
292	23799	16814
293	23862	16720
294	23940	16636
